newcomer,age,repo_num,follower_num,commit_comment_num,commit_num,issue_comment_num,issue_event_num,issue_number,org_number,pr_comment_num,pr_num,collaborator_num
False,506,0,7,0,67,177,185,63,1,59,52,0
False,906,2,545,0,279,4205,4084,187,6,3488,124,2
False,1541,3,3069,0,6669,3893,18149,141,3,961,118,1
False,832,2,545,0,267,3779,3633,183,6,3219,121,2
False,1467,3,3069,0,6170,3537,16485,100,3,805,79,1
False,1298,0,13,0,5,11,29,9,2,2,5,0
False,827,2,545,0,263,3762,3624,181,6,3206,119,2
False,1298,0,13,0,5,11,29,9,2,2,5,0
False,1298,0,13,0,5,11,29,9,2,2,5,0
False,827,2,545,0,263,3762,3624,181,6,3206,119,2
False,1237,1,301,0,151,81,178,64,1,17,58,0
False,1462,3,3069,0,6135,3504,16349,90,3,800,69,1
False,1298,0,13,0,5,11,29,9,2,2,5,0
False,1462,3,3069,0,6135,3504,16349,90,3,800,69,1
False,1746,0,20,0,0,1223,8,617,0,0,1,0
False,1497,3,3069,0,6371,3714,17226,127,3,863,105,1
False,1746,0,20,0,0,1223,8,617,0,0,1,0
False,744,1,12,0,102,367,364,67,0,88,56,0
False,1232,2,27,0,45,98,72,26,4,25,22,0
False,689,0,6,0,0,8,7,2,1,0,0,0
False,570,0,0,0,0,0,0,0,1,0,0,0
False,1232,2,27,0,45,98,72,26,4,25,22,0
False,1497,3,3069,0,6371,3714,17226,127,3,863,105,1
True,113,0,0,0,0,3,3,2,0,0,0,0
False,932,2,545,0,283,4363,4224,190,6,3621,126,2
False,113,0,0,0,0,3,3,2,0,0,0,0
False,180,0,0,0,0,1,0,0,0,0,0,0
False,838,0,1,0,2,15,17,6,1,0,2,0
False,672,0,1,0,0,9,14,4,0,0,0,0
False,113,0,0,0,0,3,3,2,0,0,0,0
False,1567,3,3069,0,7038,4151,19283,163,3,1064,139,1
True,1379,2,12,0,2,0,0,1,2,0,1,0
False,1455,3,3069,0,6079,3454,16126,89,3,782,68,1
False,1455,3,3069,0,6079,3454,16126,89,3,782,68,1
False,1081,2,102,0,47,36,70,21,5,10,20,1
False,996,1,90,0,530,1087,1221,233,1,515,214,0
False,309,0,1,0,0,0,0,0,1,0,0,0
False,833,2,545,0,267,3795,3647,183,6,3232,121,2
False,1468,3,3069,0,6179,3551,16542,102,3,814,80,1
False,951,1,27,0,16,28,21,14,0,0,11,0
False,1451,3,3069,0,6022,3379,15783,86,3,759,67,1
False,951,1,27,0,16,28,21,14,0,0,11,0
False,1451,3,3069,0,6022,3379,15783,86,3,759,67,1
False,1324,2,496,0,140,87,131,40,5,19,32,0
False,992,1,90,0,530,1054,1188,233,1,512,214,0
True,1511,0,78,0,0,3,2,1,1,0,0,0
False,1127,2,102,0,54,54,93,26,5,11,25,1
False,1501,3,3069,0,6389,3717,17280,127,3,864,105,1
